[Name]
Chart Line 1

[Data]
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
1.69827510e-02, 1.19999992e+02
1.98571980e-02, 1.19999992e+02
2.27316450e-02, 1.19534843e+02
2.56060939e-02, 1.16842827e+02
2.84805410e-02, 1.13933861e+02
3.13549899e-02, 1.13437584e+02
3.42294388e-02, 1.12668053e+02
3.71038839e-02, 1.08348503e+02
3.99783328e-02, 1.03928764e+02
4.28527817e-02, 1.03146385e+02
4.57272269e-02, 1.02330162e+02
4.86804396e-02, 9.75422897e+01
5.16427718e-02, 9.24533920e+01
5.46051040e-02, 9.15947495e+01
5.75674362e-02, 8.64737778e+01
6.05297647e-02, 8.13102646e+01
6.34920970e-02, 8.04851608e+01
6.64544329e-02, 8.04851608e+01
6.94167614e-02, 8.04851608e+01
7.23790899e-02, 8.02628403e+01
7.53414258e-02, 7.99999924e+01
7.83037618e-02, 7.99999924e+01
8.12660903e-02, 7.99999924e+01
8.42284188e-02, 7.99999924e+01
8.71907547e-02, 7.99999924e+01
9.01530832e-02, 7.99999924e+01
9.31154117e-02, 7.99999924e+01
9.60777476e-02, 7.99999924e+01
9.90400761e-02, 7.99999924e+01
1.02002412e-01, 7.99999924e+01
1.04964741e-01, 7.99999924e+01


