[Name],
Chart Line 1,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
1.69E-01,9.83E+01
1.78E-01,9.31E+01
1.87E-01,9.22E+01
1.95E-01,8.69E+01
2.02E-01,8.13E+01
2.06E-01,8.08E+01
2.09E-01,8.05E+01
2.13E-01,8.04E+01
2.16E-01,8.04E+01
2.20E-01,8.04E+01
2.24E-01,8.04E+01
2.28E-01,8.03E+01
2.32E-01,8.02E+01
2.36E-01,8.01E+01
2.38E-01,8.01E+01
2.40E-01,8.00E+01
2.43E-01,8.00E+01
2.45E-01,8.00E+01
2.47E-01,8.00E+01
2.49E-01,8.00E+01
2.51E-01,8.00E+01
2.54E-01,8.00E+01
2.56E-01,8.00E+01
2.58E-01,8.00E+01
2.59E-01,8.00E+01
2.61E-01,8.00E+01
2.63E-01,8.00E+01
2.65E-01,8.00E+01
2.66E-01,8.00E+01
2.68E-01,8.00E+01
2.70E-01,8.00E+01
2.71E-01,8.00E+01
2.73E-01,8.00E+01
2.74E-01,8.00E+01
2.76E-01,8.00E+01
2.77E-01,8.00E+01
2.79E-01,8.00E+01
2.80E-01,8.00E+01
2.81E-01,8.00E+01
2.83E-01,8.00E+01
2.84E-01,8.00E+01
2.86E-01,8.00E+01
2.87E-01,8.00E+01
2.88E-01,8.00E+01
2.89E-01,8.00E+01
2.90E-01,8.00E+01
2.91E-01,8.00E+01
2.94E-01,8.00E+01
2.97E-01,8.00E+01
,
,
[Name],
Chart Line 5,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.20E+02
3.75E-03,1.20E+02
1.30E-02,1.20E+02
1.77E-02,1.20E+02
2.22E-02,1.20E+02
3.13E-02,1.20E+02
4.06E-02,1.20E+02
5.13E-02,1.20E+02
6.28E-02,1.20E+02
7.51E-02,1.20E+02
8.71E-02,1.17E+02
9.77E-02,1.14E+02
1.08E-01,1.13E+02
1.20E-01,1.13E+02
1.30E-01,1.08E+02
1.40E-01,1.04E+02
1.49E-01,1.03E+02
1.59E-01,1.02E+02
1.69E-01,9.75E+01
1.78E-01,9.25E+01
1.86E-01,9.15E+01
1.95E-01,8.66E+01
2.02E-01,8.13E+01
2.05E-01,8.09E+01
2.08E-01,8.05E+01
2.12E-01,8.05E+01
2.15E-01,8.05E+01
2.19E-01,8.05E+01
2.23E-01,8.05E+01
2.27E-01,8.04E+01
2.32E-01,8.03E+01
2.36E-01,8.01E+01
2.38E-01,8.01E+01
2.40E-01,8.00E+01
2.42E-01,8.00E+01
2.44E-01,8.00E+01
2.46E-01,8.00E+01
2.49E-01,8.00E+01
2.51E-01,8.00E+01
2.53E-01,8.00E+01
2.55E-01,8.00E+01
2.57E-01,8.00E+01
2.59E-01,8.00E+01
2.61E-01,8.00E+01
2.63E-01,8.00E+01
2.64E-01,8.00E+01
2.66E-01,8.00E+01
2.68E-01,8.00E+01
2.69E-01,8.00E+01
2.71E-01,8.00E+01
2.73E-01,8.00E+01
2.74E-01,8.00E+01
2.76E-01,8.00E+01
2.77E-01,8.00E+01
2.78E-01,8.00E+01
2.80E-01,8.00E+01
2.81E-01,8.00E+01
2.83E-01,8.00E+01
2.84E-01,8.00E+01
2.86E-01,8.00E+01
2.87E-01,8.00E+01
2.88E-01,8.00E+01
2.89E-01,8.00E+01
2.90E-01,8.00E+01
2.91E-01,8.00E+01
2.94E-01,8.00E+01
2.97E-01,8.00E+01
