X [ m ],Y [ m ]
[Name],
Chart Line 4,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.75E-03
-6.24E-02,-1.19E-02
-6.28E-02,-1.65E-02
-6.28E-02,-2.10E-02
-6.29E-02,-3.00E-02
-6.29E-02,-3.92E-02
-6.30E-02,-4.99E-02
-6.30E-02,-6.12E-02
-6.30E-02,-7.33E-02
-6.28E-02,-8.51E-02
-6.28E-02,-9.57E-02
-6.30E-02,-1.06E-01
-6.28E-02,-1.18E-01
-6.30E-02,-1.29E-01
-6.29E-02,-1.38E-01
-6.28E-02,-1.47E-01
-6.29E-02,-1.58E-01
-6.29E-02,-1.68E-01
-6.28E-02,-1.77E-01
-6.28E-02,-1.86E-01
-6.28E-02,-1.94E-01
-6.28E-02,-2.01E-01
-6.28E-02,-2.05E-01
-6.28E-02,-2.08E-01
-6.28E-02,-2.11E-01
-6.28E-02,-2.15E-01
-6.28E-02,-2.19E-01
-6.28E-02,-2.23E-01
-6.26E-02,-2.27E-01
-6.13E-02,-2.31E-01
-5.86E-02,-2.34E-01
-5.67E-02,-2.35E-01
-5.48E-02,-2.36E-01
-5.27E-02,-2.36E-01
-5.06E-02,-2.36E-01
-4.84E-02,-2.35E-01
-4.64E-02,-2.34E-01
-4.44E-02,-2.33E-01
-4.25E-02,-2.32E-01
-4.06E-02,-2.32E-01
-3.88E-02,-2.31E-01
-3.71E-02,-2.30E-01
-3.54E-02,-2.29E-01
-3.38E-02,-2.29E-01
-3.22E-02,-2.28E-01
-3.06E-02,-2.28E-01
-2.91E-02,-2.27E-01
-2.75E-02,-2.27E-01
-2.61E-02,-2.26E-01
-2.46E-02,-2.26E-01
-2.31E-02,-2.26E-01
-2.17E-02,-2.25E-01
-2.02E-02,-2.25E-01
-1.88E-02,-2.25E-01
-1.74E-02,-2.25E-01
-1.59E-02,-2.24E-01
-1.45E-02,-2.24E-01
-1.31E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.05E-02,-2.24E-01
-9.42E-03,-2.24E-01
-8.56E-03,-2.23E-01
-7.73E-03,-2.23E-01
-6.14E-03,-2.23E-01
-3.07E-03,-2.23E-01
-1.86E-18,-2.23E-01
,
,
[Name],
Chart Line 5,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.75E-03
-6.24E-02,-1.20E-02
-6.28E-02,-1.66E-02
-6.30E-02,-2.12E-02
-6.30E-02,-3.03E-02
-6.30E-02,-3.96E-02
-6.30E-02,-5.03E-02
-6.29E-02,-6.18E-02
-6.30E-02,-7.41E-02
-6.30E-02,-8.60E-02
-6.29E-02,-9.67E-02
-6.29E-02,-1.07E-01
-6.29E-02,-1.19E-01
-6.29E-02,-1.29E-01
-6.28E-02,-1.39E-01
-6.28E-02,-1.48E-01
-6.28E-02,-1.58E-01
-6.31E-02,-1.68E-01
-6.29E-02,-1.77E-01
-6.28E-02,-1.85E-01
-6.28E-02,-1.94E-01
-6.28E-02,-2.01E-01
-6.28E-02,-2.04E-01
-6.28E-02,-2.07E-01
-6.28E-02,-2.11E-01
-6.27E-02,-2.14E-01
-6.28E-02,-2.18E-01
-6.28E-02,-2.22E-01
-6.28E-02,-2.26E-01
-6.16E-02,-2.30E-01
-5.90E-02,-2.34E-01
-5.73E-02,-2.35E-01
-5.54E-02,-2.36E-01
-5.33E-02,-2.36E-01
-5.11E-02,-2.36E-01
-4.89E-02,-2.36E-01
-4.69E-02,-2.35E-01
-4.48E-02,-2.34E-01
-4.29E-02,-2.33E-01
-4.10E-02,-2.32E-01
-3.92E-02,-2.31E-01
-3.74E-02,-2.30E-01
-3.57E-02,-2.30E-01
-3.40E-02,-2.29E-01
-3.24E-02,-2.28E-01
-3.08E-02,-2.28E-01
-2.93E-02,-2.27E-01
-2.77E-02,-2.27E-01
-2.62E-02,-2.27E-01
-2.47E-02,-2.26E-01
-2.33E-02,-2.26E-01
-2.18E-02,-2.25E-01
-2.03E-02,-2.25E-01
-1.89E-02,-2.25E-01
-1.74E-02,-2.25E-01
-1.59E-02,-2.24E-01
-1.45E-02,-2.24E-01
-1.31E-02,-2.24E-01
-1.17E-02,-2.24E-01
-1.06E-02,-2.24E-01
-9.42E-03,-2.24E-01
-8.56E-03,-2.23E-01
-7.73E-03,-2.23E-01
-6.14E-03,-2.23E-01
-3.07E-03,-2.23E-01
-1.86E-18,-2.23E-01
